shop_id,label
s_754690,30
s_692501,4
s_4019763,69
s_4052093,76
s_3081668,56
s_768450,33
s_4048299,75
s_1781825,51
s_449710,3
s_767193,31
s_1463272,50
s_3713977,66
s_738189,16
s_2916642,53
s_1312256,46
s_4043829,74
s_773277,35
s_3253827,59
s_724944,10
s_3216207,58
s_1962280,52
s_740462,19
s_1349652,48
s_3092302,57
s_734742,15
s_4056183,79
s_749801,27
s_35458,0
s_750461,28
s_4040365,72
s_3525594,62
s_3411026,61
s_4033727,71
s_701911,5
s_734414,14
s_745475,25
s_752279,29
s_1204023,45
s_815127,37
s_768056,32
s_4016315,68
s_4029990,70
s_4055298,78
s_1060794,43
s_4054117,77
s_745231,24
s_1084649,44
s_1423778,49
s_774345,36
s_730243,11
s_1333732,47
s_4042007,73
s_3692480,65
s_705295,6
s_3031851,54
s_3943328,67
s_740148,18
s_3072973,55
s_709265,7
s_734150,13
s_732621,12
s_739108,17
s_719563,8
s_721444,9
s_849441,39
s_420286,2
s_770379,34
s_3669011,63
s_852415,40
s_921135,41
s_3320853,60
s_843583,38
s_744098,22
s_741600,20
s_747411,26
s_744251,23
s_1009782,42
s_3669262,64
s_419905,1
s_743518,21
